ate,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-07-30,Peru,PER,400683,5678,18816,204,Community transmission,0
2020-07-30,Chile,CHL,353536,1961,9377,99,Community transmission,0
2020-07-30,Colombia,COL,276055,8670,9454,380,Community transmission,0
2020-07-30,Argentina,ARG,178996,5641,3311,111,Community transmission,0
2020-07-30,Canada,CAN,115470,476,8917,5,Community transmission,0
2020-07-30,Ecuador,ECU,84370,1177,5657,34,Community transmission,0
2020-07-30,Bolivia (Plurinational State of),BOL,73534,1207,2808,88,Community transmission,0
2020-07-30,Dominican Republic,DOM,67915,1733,1146,23,Community transmission,0
2020-07-30,Panama,PAN,63269,1046,1374,25,Community transmission,0
2020-07-30,Guatemala,GTM,48826,1221,1867,32,Community transmission,0
2020-07-30,Honduras,HND,40944,484,1259,45,Community transmission,0
2020-07-30,Venezuela (Bolivarian Republic of),VEN,17159,588,154,3,Community transmission,0
2020-07-30,Costa Rica,CRI,16800,456,133,8,Community transmission,0
2020-07-30,El Salvador,SLV,16230,389,439,9,Community transmission,0
2020-07-30,Haiti,HTI,7378,7,159,1,Community transmission,0
2020-07-30,Paraguay,PRY,4866,192,46,1,Community transmission,0
2020-07-30,Nicaragua,NIC,3080,0,116,0,Community transmission,2
2020-07-30,Cuba,CUB,2597,9,87,0,Clusters of cases,0
2020-07-30,Suriname,SUR,1607,97,26,2,Clusters of cases,0
2020-07-30,Uruguay,URY,1237,19,35,0,Clusters of cases,0
2020-07-30,Jamaica,JAM,856,1,10,0,Clusters of cases,0
2020-07-30,Bahamas,BHS,484,37,11,0,Clusters of cases,0
2020-07-30,Guyana,GUY,398,2,20,0,Clusters of cases,0
2020-07-30,Trinidad and Tobago,TTO,157,1,8,0,Sporadic cases,0
2020-07-30,Barbados,BRB,110,0,7,0,Clusters of cases,3
2020-07-30,Antigua and Barbuda,ATG,91,5,3,0,Clusters of cases,0
2020-07-30,Saint Vincent and the Grenadines,VCT,52,0,0,0,Sporadic cases,7
2020-07-30,Belize,BLZ,48,0,2,0,Sporadic cases,5
2020-07-30,Saint Lucia,LCA,25,1,0,0,Sporadic cases,0
2020-07-30,Grenada,GRD,24,1,0,0,Clusters of cases,0
2020-07-30,Dominica,DMA,18,0,0,0,Clusters of cases,48
2020-07-30,Saint Kitts and Nevis,KNA,17,0,0,0,No cases,20
2020-07-30,Puerto Rico,PRI,16572,511,214,3,Community transmission,0
2020-07-30,French Guiana,GUF,7728,81,43,0,Community transmission,0
2020-07-30,United States Virgin Islands,VIR,398,13,8,0,Community transmission,0
2020-07-30,Martinique,MTQ,269,0,15,0,Clusters of cases,6
2020-07-30,Guadeloupe,GLP,244,0,14,0,Clusters of cases,1
